id,home_team_api_id,away_team_api_id,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11
1768,8528,10194,489161,8528,10194,0,0,34421.0,34987.0,24230.0,35472.0,111865.0,35327.0,97988.0,25150.0,24663.0,34466.0,127857.0,23794.0,40574.0,40005.0,40695.0,35467.0,24133.0,23333.0,35636.0,25668.0,38755.0,23314.0
1769,10260,10194,489162,10260,10194,5,0,30726.0,24150.0,30865.0,43248.0,32569.0,30893.0,34944.0,24148.0,30802.0,38817.0,27430.0,23794.0,40574.0,40005.0,40695.0,35467.0,23333.0,24133.0,35636.0,25668.0,38755.0,23314.0
1770,9825,10252,489163,9825,10252,0,2,23686.0,26111.0,38835.0,30616.0,31291.0,31013.0,30613.0,39297.0,26181.0,27277.0,36410.0,30380.0,33863.0,43280.0,24658.0,30357.0,23354.0,23283.0,38609.0,23782.0,38807.0,23264.0
1771,8654,8462,489164,8654,8462,0,0,36374.0,30687.0,24751.0,23818.0,26348.0,30966.0,24223.0,109898.0,118390.0,34543.0,33781.0,36286.0,34036.0,26108.0,24216.0,24630.0,25517.0,24653.0,23988.0,40987.0,30830.0,30348.0
1772,8668,8549,489165,8668,8549,1,1,31465.0,30371.0,24004.0,23268.0,33086.0,24011.0,39618.0,30876.0,24006.0,24160.0,30735.0,22978.0,33754.0,24163.0,24167.0,24161.0,24393.0,33128.0,35544.0,30892.0,35608.0,42183.0
1773,10261,8528,489166,10261,8528,2,2,24224.0,25518.0,26209.0,30929.0,37475.0,33852.0,24205.0,30360.0,34574.0,24225.0,37799.0,34421.0,35472.0,24230.0,25005.0,111865.0,35327.0,25150.0,97988.0,24890.0,41877.0,24841.0
1774,8655,8472,489167,8655,8472,1,2,30622.0,37764.0,19020.0,35506.0,24136.0,49571.0,38711.0,23889.0,23916.0,30646.0,34176.0,24527.0,36786.0,24740.0,24446.0,24408.0,24655.0,24411.0,30352.0,38802.0,33418.0,30988.0
1775,9879,8586,489168,9879,8586,2,1,30633.0,37266.0,23780.0,26777.0,24781.0,30956.0,30338.0,24843.0,24020.0,31907.0,24741.0,30455.0,46403.0,38697.0,30354.0,31921.0,23760.0,34182.0,24656.0,30818.0,31097.0,23949.0
1776,8559,8650,489169,8559,8650,0,2,23932.0,26454.0,23783.0,24336.0,23785.0,24372.0,23933.0,35532.0,23784.0,34261.0,23934.0,30660.0,30617.0,24134.0,25984.0,34222.0,30889.0,38818.0,37139.0,30618.0,37920.0,24635.0
1777,8659,8455,489170,8659,8455,0,3,36373.0,31731.0,37280.0,26527.0,24728.0,40055.0,24171.0,24664.0,38433.0,32570.0,27267.0,23984.0,25925.0,31306.0,30627.0,30635.0,30631.0,32345.0,30686.0,31906.0,37804.0,30679.0
1778,8667,8456,489171,8667,8456,2,2,23021.0,40132.0,34275.0,26066.0,34430.0,30595.0,23023.0,34437.0,39073.0,26143.0,23352.0,31432.0,30509.0,24208.0,23939.0,33963.0,30367.0,39027.0,24213.0,30340.0,25342.0,33974.0
1779,8650,9879,489172,8650,9879,0,0,30660.0,37442.0,30617.0,25984.0,34222.0,37139.0,95327.0,38818.0,37920.0,24635.0,30853.0,30633.0,37266.0,23780.0,26777.0,24781.0,24020.0,30338.0,24843.0,30956.0,31907.0,24741.0
1780,8472,8654,489173,8472,8654,0,1,24527.0,36786.0,24446.0,24740.0,24408.0,38802.0,24411.0,30352.0,17866.0,30988.0,33418.0,36374.0,30687.0,24751.0,23818.0,26348.0,36394.0,24223.0,33049.0,30966.0,34543.0,33781.0
1781,8586,8655,489174,8586,8655,1,0,30455.0,46403.0,38697.0,30354.0,40006.0,30895.0,30818.0,24656.0,23760.0,40755.0,23949.0,30622.0,37764.0,19020.0,23921.0,25667.0,30842.0,38711.0,23889.0,23916.0,34947.0,30646.0
1782,10252,10260,489175,10252,10260,0,0,30380.0,24780.0,24658.0,43280.0,30357.0,38609.0,23283.0,23782.0,38807.0,23264.0,23354.0,30726.0,24150.0,30620.0,30865.0,32569.0,30893.0,34944.0,24154.0,30802.0,38817.0,30829.0
